{'loss': 6.335, 'learning_rate': 9.997076023391814e-05, 'epoch': 0.0}
{'loss': 0.6686, 'learning_rate': 9.74561403508772e-05, 'epoch': 0.25}
{'loss': 0.6438, 'learning_rate': 9.742690058479532e-05, 'epoch': 0.26}
{'loss': 0.6075, 'learning_rate': 9.739766081871346e-05, 'epoch': 0.26}
{'loss': 0.6382, 'learning_rate': 9.736842105263158e-05, 'epoch': 0.26}
{'loss': 0.6673, 'learning_rate': 9.733918128654971e-05, 'epoch': 0.27}
{'loss': 0.6611, 'learning_rate': 9.730994152046784e-05, 'epoch': 0.27}
{'loss': 0.655, 'learning_rate': 9.728070175438597e-05, 'epoch': 0.27}
{'loss': 0.608, 'learning_rate': 9.725146198830409e-05, 'epoch': 0.27}
{'loss': 0.5639, 'learning_rate': 9.722222222222223e-05, 'epoch': 0.28}
{'loss': 0.6492, 'learning_rate': 9.719298245614035e-05, 'epoch': 0.28}
{'loss': 0.6045, 'learning_rate': 9.716374269005848e-05, 'epoch': 0.28}
{'loss': 0.6025, 'learning_rate': 9.713450292397662e-05, 'epoch': 0.29}
{'loss': 0.5712, 'learning_rate': 9.710526315789474e-05, 'epoch': 0.29}
{'loss': 0.5276, 'learning_rate': 9.707602339181286e-05, 'epoch': 0.29}
{'loss': 0.5843, 'learning_rate': 9.7046783625731e-05, 'epoch': 0.3}
{'loss': 0.6156, 'learning_rate': 9.701754385964913e-05, 'epoch': 0.3}
{'loss': 0.5757, 'learning_rate': 9.698830409356726e-05, 'epoch': 0.3}
{'loss': 0.5681, 'learning_rate': 9.695906432748539e-05, 'epoch': 0.3}
{'loss': 0.6149, 'learning_rate': 9.692982456140351e-05, 'epoch': 0.31}
{'loss': 0.5644, 'learning_rate': 9.690058479532165e-05, 'epoch': 0.31}
{'loss': 0.6008, 'learning_rate': 9.687134502923977e-05, 'epoch': 0.31}
{'loss': 0.5758, 'learning_rate': 9.68421052631579e-05, 'epoch': 0.32}
{'loss': 0.5687, 'learning_rate': 9.681286549707603e-05, 'epoch': 0.32}
{'loss': 0.6222, 'learning_rate': 9.678362573099416e-05, 'epoch': 0.32}
{'loss': 0.5248, 'learning_rate': 9.675438596491228e-05, 'epoch': 0.32}
{'loss': 0.5997, 'learning_rate': 9.672514619883042e-05, 'epoch': 0.33}
{'loss': 0.5724, 'learning_rate': 9.669590643274854e-05, 'epoch': 0.33}
{'loss': 0.5312, 'learning_rate': 9.666666666666667e-05, 'epoch': 0.33}
{'loss': 0.6197, 'learning_rate': 9.66374269005848e-05, 'epoch': 0.34}
{'loss': 0.514, 'learning_rate': 9.660818713450293e-05, 'epoch': 0.34}
{'loss': 0.5799, 'learning_rate': 9.657894736842105e-05, 'epoch': 0.34}
{'loss': 0.5359, 'learning_rate': 9.654970760233919e-05, 'epoch': 0.34}
{'loss': 0.5712, 'learning_rate': 9.652046783625731e-05, 'epoch': 0.35}
{'loss': 0.6292, 'learning_rate': 9.649122807017544e-05, 'epoch': 0.35}
{'loss': 0.5512, 'learning_rate': 9.646198830409358e-05, 'epoch': 0.35}
{'loss': 0.6171, 'learning_rate': 9.64327485380117e-05, 'epoch': 0.36}
{'loss': 0.5547, 'learning_rate': 9.640350877192982e-05, 'epoch': 0.36}
{'loss': 0.5373, 'learning_rate': 9.637426900584796e-05, 'epoch': 0.36}
{'loss': 0.5414, 'learning_rate': 9.634502923976609e-05, 'epoch': 0.37}
{'loss': 0.5487, 'learning_rate': 9.631578947368421e-05, 'epoch': 0.37}
{'loss': 0.6106, 'learning_rate': 9.628654970760235e-05, 'epoch': 0.37}
{'loss': 0.5305, 'learning_rate': 9.625730994152047e-05, 'epoch': 0.37}
{'loss': 0.6076, 'learning_rate': 9.62280701754386e-05, 'epoch': 0.38}
{'loss': 0.5642, 'learning_rate': 9.619883040935673e-05, 'epoch': 0.38}
{'loss': 0.5858, 'learning_rate': 9.616959064327486e-05, 'epoch': 0.38}
{'loss': 0.4733, 'learning_rate': 9.614035087719298e-05, 'epoch': 0.39}
{'loss': 0.5485, 'learning_rate': 9.611111111111112e-05, 'epoch': 0.39}
{'loss': 0.5927, 'learning_rate': 9.608187134502924e-05, 'epoch': 0.39}
{'loss': 0.5105, 'learning_rate': 9.605263157894737e-05, 'epoch': 0.39}
{'loss': 0.6017, 'learning_rate': 9.60233918128655e-05, 'epoch': 0.4}
{'loss': 0.5483, 'learning_rate': 9.599415204678363e-05, 'epoch': 0.4}
{'loss': 0.5448, 'learning_rate': 9.596491228070175e-05, 'epoch': 0.4}
{'loss': 0.5604, 'learning_rate': 9.593567251461989e-05, 'epoch': 0.41}
{'loss': 0.6025, 'learning_rate': 9.590643274853801e-05, 'epoch': 0.41}
{'loss': 0.5857, 'learning_rate': 9.587719298245614e-05, 'epoch': 0.41}
{'loss': 0.5743, 'learning_rate': 9.584795321637427e-05, 'epoch': 0.41}
{'loss': 0.5685, 'learning_rate': 9.581871345029241e-05, 'epoch': 0.42}
{'loss': 0.5019, 'learning_rate': 9.578947368421052e-05, 'epoch': 0.42}
{'loss': 0.5321, 'learning_rate': 9.576023391812866e-05, 'epoch': 0.42}
{'loss': 0.4995, 'learning_rate': 9.57309941520468e-05, 'epoch': 0.43}
{'loss': 0.5667, 'learning_rate': 9.570175438596492e-05, 'epoch': 0.43}
{'loss': 0.5367, 'learning_rate': 9.567251461988305e-05, 'epoch': 0.43}
{'loss': 0.5773, 'learning_rate': 9.564327485380118e-05, 'epoch': 0.44}
{'loss': 0.5051, 'learning_rate': 9.56140350877193e-05, 'epoch': 0.44}
{'loss': 0.4602, 'learning_rate': 9.558479532163743e-05, 'epoch': 0.44}
{'loss': 0.5193, 'learning_rate': 9.555555555555557e-05, 'epoch': 0.44}
{'loss': 0.5803, 'learning_rate': 9.552631578947369e-05, 'epoch': 0.45}
{'loss': 0.5263, 'learning_rate': 9.549707602339182e-05, 'epoch': 0.45}
{'loss': 0.5266, 'learning_rate': 9.546783625730995e-05, 'epoch': 0.45}
{'loss': 0.578, 'learning_rate': 9.543859649122808e-05, 'epoch': 0.46}
{'loss': 0.5256, 'learning_rate': 9.54093567251462e-05, 'epoch': 0.46}
{'loss': 0.5231, 'learning_rate': 9.538011695906434e-05, 'epoch': 0.46}
{'loss': 0.6117, 'learning_rate': 9.535087719298246e-05, 'epoch': 0.46}
{'loss': 0.5454, 'learning_rate': 9.532163742690059e-05, 'epoch': 0.47}
{'loss': 0.496, 'learning_rate': 9.529239766081872e-05, 'epoch': 0.47}
{'loss': 0.5135, 'learning_rate': 9.526315789473685e-05, 'epoch': 0.47}
{'loss': 0.5295, 'learning_rate': 9.523391812865497e-05, 'epoch': 0.48}
{'loss': 0.4954, 'learning_rate': 9.520467836257311e-05, 'epoch': 0.48}
{'loss': 0.4762, 'learning_rate': 9.517543859649123e-05, 'epoch': 0.48}
{'loss': 0.5616, 'learning_rate': 9.514619883040936e-05, 'epoch': 0.49}
{'loss': 0.5446, 'learning_rate': 9.51169590643275e-05, 'epoch': 0.49}
{'loss': 0.5139, 'learning_rate': 9.508771929824562e-05, 'epoch': 0.49}
{'loss': 0.5554, 'learning_rate': 9.505847953216374e-05, 'epoch': 0.49}
{'loss': 0.5698, 'learning_rate': 9.502923976608188e-05, 'epoch': 0.5}
{'loss': 0.573, 'learning_rate': 9.5e-05, 'epoch': 0.5}
{'loss': 0.5406, 'learning_rate': 9.497076023391813e-05, 'epoch': 0.5}
{'loss': 0.5538, 'learning_rate': 9.494152046783627e-05, 'epoch': 0.51}
{'loss': 0.4488, 'learning_rate': 9.491228070175439e-05, 'epoch': 0.51}
{'loss': 0.5034, 'learning_rate': 9.488304093567251e-05, 'epoch': 0.51}
{'loss': 0.4976, 'learning_rate': 9.485380116959065e-05, 'epoch': 0.51}
{'loss': 0.5444, 'learning_rate': 9.482456140350878e-05, 'epoch': 0.52}
{'loss': 0.4239, 'learning_rate': 9.47953216374269e-05, 'epoch': 0.52}
{'loss': 0.5001, 'learning_rate': 9.476608187134504e-05, 'epoch': 0.52}
{'loss': 0.478, 'learning_rate': 9.473684210526316e-05, 'epoch': 0.53}
{'loss': 0.4687, 'learning_rate': 9.470760233918129e-05, 'epoch': 0.53}
{'loss': 0.5637, 'learning_rate': 9.467836257309942e-05, 'epoch': 0.53}
{'loss': 0.5022, 'learning_rate': 9.464912280701755e-05, 'epoch': 0.53}
{'loss': 0.4344, 'learning_rate': 9.461988304093567e-05, 'epoch': 0.54}
{'loss': 0.4789, 'learning_rate': 9.459064327485381e-05, 'epoch': 0.54}
{'loss': 0.4924, 'learning_rate': 9.456140350877195e-05, 'epoch': 0.54}
{'loss': 0.5604, 'learning_rate': 9.453216374269006e-05, 'epoch': 0.55}
{'loss': 0.534, 'learning_rate': 9.45029239766082e-05, 'epoch': 0.55}
{'loss': 0.4812, 'learning_rate': 9.447368421052633e-05, 'epoch': 0.55}
{'loss': 0.4391, 'learning_rate': 9.444444444444444e-05, 'epoch': 0.56}
{'loss': 0.5203, 'learning_rate': 9.441520467836258e-05, 'epoch': 0.56}
{'loss': 0.4845, 'learning_rate': 9.438596491228072e-05, 'epoch': 0.56}
{'loss': 0.511, 'learning_rate': 9.435672514619883e-05, 'epoch': 0.56}
{'loss': 0.5103, 'learning_rate': 9.432748538011697e-05, 'epoch': 0.57}
{'loss': 0.4764, 'learning_rate': 9.42982456140351e-05, 'epoch': 0.57}
{'loss': 0.5096, 'learning_rate': 9.426900584795321e-05, 'epoch': 0.57}
{'loss': 0.4215, 'learning_rate': 9.423976608187135e-05, 'epoch': 0.58}
{'loss': 0.4668, 'learning_rate': 9.421052631578949e-05, 'epoch': 0.58}
{'loss': 0.5299, 'learning_rate': 9.41812865497076e-05, 'epoch': 0.58}
{'loss': 0.5397, 'learning_rate': 9.415204678362574e-05, 'epoch': 0.58}
{'loss': 0.5703, 'learning_rate': 9.412280701754387e-05, 'epoch': 0.59}
{'loss': 0.4771, 'learning_rate': 9.409356725146198e-05, 'epoch': 0.59}
{'loss': 0.5238, 'learning_rate': 9.406432748538012e-05, 'epoch': 0.59}
{'loss': 0.546, 'learning_rate': 9.403508771929826e-05, 'epoch': 0.6}
{'loss': 0.4963, 'learning_rate': 9.400584795321637e-05, 'epoch': 0.6}
{'loss': 0.527, 'learning_rate': 9.397660818713451e-05, 'epoch': 0.6}
{'loss': 0.4595, 'learning_rate': 9.394736842105264e-05, 'epoch': 0.6}
{'loss': 0.4915, 'learning_rate': 9.391812865497076e-05, 'epoch': 0.61}
{'loss': 0.53, 'learning_rate': 9.388888888888889e-05, 'epoch': 0.61}
{'loss': 0.4762, 'learning_rate': 9.385964912280703e-05, 'epoch': 0.61}
{'loss': 0.4379, 'learning_rate': 9.383040935672514e-05, 'epoch': 0.62}
{'loss': 0.4726, 'learning_rate': 9.380116959064328e-05, 'epoch': 0.62}
{'loss': 0.5049, 'learning_rate': 9.377192982456142e-05, 'epoch': 0.62}
{'loss': 0.4684, 'learning_rate': 9.374269005847953e-05, 'epoch': 0.63}
{'loss': 0.524, 'learning_rate': 9.371345029239766e-05, 'epoch': 0.63}
{'loss': 0.4947, 'learning_rate': 9.36842105263158e-05, 'epoch': 0.63}
{'loss': 0.4862, 'learning_rate': 9.365497076023391e-05, 'epoch': 0.63}
{'loss': 0.5192, 'learning_rate': 9.362573099415205e-05, 'epoch': 0.64}
{'loss': 0.5313, 'learning_rate': 9.359649122807019e-05, 'epoch': 0.64}
{'loss': 0.4564, 'learning_rate': 9.35672514619883e-05, 'epoch': 0.64}
{'loss': 0.4801, 'learning_rate': 9.353801169590643e-05, 'epoch': 0.65}
{'loss': 0.4081, 'learning_rate': 9.350877192982457e-05, 'epoch': 0.65}
{'loss': 0.5009, 'learning_rate': 9.347953216374268e-05, 'epoch': 0.65}
{'loss': 0.5034, 'learning_rate': 9.345029239766082e-05, 'epoch': 0.65}
{'loss': 0.5207, 'learning_rate': 9.342105263157896e-05, 'epoch': 0.66}
{'loss': 0.5368, 'learning_rate': 9.339181286549708e-05, 'epoch': 0.66}
{'loss': 0.4439, 'learning_rate': 9.33625730994152e-05, 'epoch': 0.66}
{'loss': 0.457, 'learning_rate': 9.333333333333334e-05, 'epoch': 0.67}
{'loss': 0.5044, 'learning_rate': 9.330409356725147e-05, 'epoch': 0.67}
{'loss': 0.5051, 'learning_rate': 9.327485380116959e-05, 'epoch': 0.67}
{'loss': 0.547, 'learning_rate': 9.324561403508773e-05, 'epoch': 0.67}
{'loss': 0.4747, 'learning_rate': 9.321637426900585e-05, 'epoch': 0.68}
{'loss': 0.4764, 'learning_rate': 9.318713450292398e-05, 'epoch': 0.68}
{'loss': 0.5168, 'learning_rate': 9.315789473684211e-05, 'epoch': 0.68}
{'loss': 0.5384, 'learning_rate': 9.312865497076024e-05, 'epoch': 0.69}
{'loss': 0.4088, 'learning_rate': 9.309941520467836e-05, 'epoch': 0.69}
{'loss': 0.4555, 'learning_rate': 9.30701754385965e-05, 'epoch': 0.69}
{'loss': 0.4424, 'learning_rate': 9.304093567251462e-05, 'epoch': 0.7}
{'loss': 0.4963, 'learning_rate': 9.301169590643275e-05, 'epoch': 0.7}
{'loss': 0.4847, 'learning_rate': 9.298245614035089e-05, 'epoch': 0.7}
{'loss': 0.4621, 'learning_rate': 9.295321637426901e-05, 'epoch': 0.7}
{'loss': 0.4563, 'learning_rate': 9.292397660818713e-05, 'epoch': 0.71}
{'loss': 0.5344, 'learning_rate': 9.289473684210527e-05, 'epoch': 0.71}
{'loss': 0.4721, 'learning_rate': 9.28654970760234e-05, 'epoch': 0.71}
{'loss': 0.4383, 'learning_rate': 9.283625730994152e-05, 'epoch': 0.72}
{'loss': 0.4892, 'learning_rate': 9.280701754385966e-05, 'epoch': 0.72}
{'loss': 0.4681, 'learning_rate': 9.277777777777778e-05, 'epoch': 0.72}
{'loss': 0.4524, 'learning_rate': 9.27485380116959e-05, 'epoch': 0.72}
{'loss': 0.5239, 'learning_rate': 9.271929824561404e-05, 'epoch': 0.73}
{'loss': 0.4615, 'learning_rate': 9.269005847953217e-05, 'epoch': 0.73}
{'loss': 0.4683, 'learning_rate': 9.266081871345029e-05, 'epoch': 0.73}
{'loss': 0.4963, 'learning_rate': 9.263157894736843e-05, 'epoch': 0.74}
{'loss': 0.5138, 'learning_rate': 9.260233918128655e-05, 'epoch': 0.74}
{'loss': 0.5111, 'learning_rate': 9.257309941520468e-05, 'epoch': 0.74}
{'loss': 0.4807, 'learning_rate': 9.254385964912281e-05, 'epoch': 0.75}
{'loss': 0.4949, 'learning_rate': 9.251461988304094e-05, 'epoch': 0.75}
{'loss': 0.4412, 'learning_rate': 9.248538011695906e-05, 'epoch': 0.75}
{'loss': 0.3984, 'learning_rate': 9.24561403508772e-05, 'epoch': 0.75}
{'loss': 0.5754, 'learning_rate': 9.242690058479532e-05, 'epoch': 0.76}
{'loss': 0.4043, 'learning_rate': 9.239766081871345e-05, 'epoch': 0.76}
{'loss': 0.4321, 'learning_rate': 9.236842105263158e-05, 'epoch': 0.76}
{'loss': 0.473, 'learning_rate': 9.233918128654971e-05, 'epoch': 0.77}
{'loss': 0.4717, 'learning_rate': 9.230994152046783e-05, 'epoch': 0.77}
{'loss': 0.4375, 'learning_rate': 9.228070175438597e-05, 'epoch': 0.77}
{'loss': 0.4951, 'learning_rate': 9.225146198830409e-05, 'epoch': 0.77}
{'loss': 0.424, 'learning_rate': 9.222222222222223e-05, 'epoch': 0.78}
{'loss': 0.5225, 'learning_rate': 9.219298245614035e-05, 'epoch': 0.78}
{'loss': 0.47, 'learning_rate': 9.216374269005849e-05, 'epoch': 0.78}
{'loss': 0.4883, 'learning_rate': 9.213450292397662e-05, 'epoch': 0.79}
{'loss': 0.4249, 'learning_rate': 9.210526315789474e-05, 'epoch': 0.79}
{'loss': 0.4672, 'learning_rate': 9.207602339181288e-05, 'epoch': 0.79}
{'loss': 0.4407, 'learning_rate': 9.2046783625731e-05, 'epoch': 0.79}
{'loss': 0.4856, 'learning_rate': 9.201754385964913e-05, 'epoch': 0.8}
{'loss': 0.5472, 'learning_rate': 9.198830409356726e-05, 'epoch': 0.8}
{'loss': 0.4945, 'learning_rate': 9.195906432748539e-05, 'epoch': 0.8}
{'loss': 0.4284, 'learning_rate': 9.192982456140351e-05, 'epoch': 0.81}
{'loss': 0.4639, 'learning_rate': 9.190058479532165e-05, 'epoch': 0.81}
{'loss': 0.487, 'learning_rate': 9.187134502923977e-05, 'epoch': 0.81}
{'loss': 0.4598, 'learning_rate': 9.18421052631579e-05, 'epoch': 0.82}
{'loss': 0.4423, 'learning_rate': 9.181286549707603e-05, 'epoch': 0.82}
{'loss': 0.5014, 'learning_rate': 9.178362573099416e-05, 'epoch': 0.82}
{'loss': 0.4866, 'learning_rate': 9.175438596491228e-05, 'epoch': 0.82}
{'loss': 0.4759, 'learning_rate': 9.172514619883042e-05, 'epoch': 0.83}
{'loss': 0.3755, 'learning_rate': 9.169590643274854e-05, 'epoch': 0.83}
{'loss': 0.4095, 'learning_rate': 9.166666666666667e-05, 'epoch': 0.83}
{'loss': 0.5036, 'learning_rate': 9.16374269005848e-05, 'epoch': 0.84}
{'loss': 0.4943, 'learning_rate': 9.160818713450293e-05, 'epoch': 0.84}
{'loss': 0.4984, 'learning_rate': 9.157894736842105e-05, 'epoch': 0.84}
{'loss': 0.469, 'learning_rate': 9.154970760233919e-05, 'epoch': 0.84}
{'loss': 0.4318, 'learning_rate': 9.152046783625731e-05, 'epoch': 0.85}
{'loss': 0.4642, 'learning_rate': 9.149122807017544e-05, 'epoch': 0.85}
{'loss': 0.5324, 'learning_rate': 9.146198830409358e-05, 'epoch': 0.85}
{'loss': 0.4285, 'learning_rate': 9.14327485380117e-05, 'epoch': 0.86}
{'loss': 0.4446, 'learning_rate': 9.140350877192982e-05, 'epoch': 0.86}
{'loss': 0.5089, 'learning_rate': 9.137426900584796e-05, 'epoch': 0.86}
{'loss': 0.4843, 'learning_rate': 9.134502923976609e-05, 'epoch': 0.86}
{'loss': 0.4239, 'learning_rate': 9.131578947368421e-05, 'epoch': 0.87}
{'loss': 0.4379, 'learning_rate': 9.128654970760235e-05, 'epoch': 0.87}
{'loss': 0.4455, 'learning_rate': 9.125730994152047e-05, 'epoch': 0.87}
{'loss': 0.4905, 'learning_rate': 9.12280701754386e-05, 'epoch': 0.88}
{'loss': 0.5269, 'learning_rate': 9.119883040935673e-05, 'epoch': 0.88}
{'loss': 0.4217, 'learning_rate': 9.116959064327486e-05, 'epoch': 0.88}
{'loss': 0.4401, 'learning_rate': 9.114035087719298e-05, 'epoch': 0.89}
{'loss': 0.409, 'learning_rate': 9.111111111111112e-05, 'epoch': 0.89}
{'loss': 0.4634, 'learning_rate': 9.108187134502924e-05, 'epoch': 0.89}
{'loss': 0.4998, 'learning_rate': 9.105263157894738e-05, 'epoch': 0.89}
{'loss': 0.4708, 'learning_rate': 9.10233918128655e-05, 'epoch': 0.9}
{'loss': 0.5224, 'learning_rate': 9.099415204678363e-05, 'epoch': 0.9}
{'loss': 0.4766, 'learning_rate': 9.096491228070177e-05, 'epoch': 0.9}
{'loss': 0.5015, 'learning_rate': 9.093567251461989e-05, 'epoch': 0.91}
{'loss': 0.4766, 'learning_rate': 9.090643274853801e-05, 'epoch': 0.91}
{'loss': 0.4748, 'learning_rate': 9.087719298245615e-05, 'epoch': 0.91}
{'loss': 0.4785, 'learning_rate': 9.084795321637427e-05, 'epoch': 0.91}
{'loss': 0.442, 'learning_rate': 9.08187134502924e-05, 'epoch': 0.92}
{'loss': 0.4637, 'learning_rate': 9.078947368421054e-05, 'epoch': 0.92}
{'loss': 0.457, 'learning_rate': 9.076023391812866e-05, 'epoch': 0.92}
{'loss': 0.4551, 'learning_rate': 9.073099415204678e-05, 'epoch': 0.93}
{'loss': 0.4669, 'learning_rate': 9.070175438596492e-05, 'epoch': 0.93}
{'loss': 0.444, 'learning_rate': 9.067251461988305e-05, 'epoch': 0.93}
{'loss': 0.4367, 'learning_rate': 9.064327485380117e-05, 'epoch': 0.93}
{'loss': 0.5189, 'learning_rate': 9.061403508771931e-05, 'epoch': 0.94}
{'loss': 0.4399, 'learning_rate': 9.058479532163743e-05, 'epoch': 0.94}
{'loss': 0.4485, 'learning_rate': 9.055555555555556e-05, 'epoch': 0.94}
{'loss': 0.4301, 'learning_rate': 9.052631578947369e-05, 'epoch': 0.95}
{'loss': 0.4372, 'learning_rate': 9.049707602339182e-05, 'epoch': 0.95}
